date,ticker,side,entry_time,exit_time,entry,exit,pts,r_mult,pnl
2022-12-02,DIA,1,2022-12-01,2022-12-02,344.42,340.93,-3.490000000000009,-174.50000000000045,-351.0000000000009
2022-12-02,IWM,1,2022-12-01,2022-12-02,186.97,184.34,-2.6299999999999955,-131.49999999999977,-264.99999999999955
2022-12-05,DIA,1,2022-12-02,2022-12-05,344.75,342.45,-2.3000000000000114,-115.00000000000057,-232.00000000000114
2022-12-05,IWM,1,2022-12-02,2022-12-05,188.06,186.85000000000002,-1.2099999999999795,-60.49999999999898,-122.99999999999795
2022-12-06,DIA,1,2022-12-05,2022-12-06,340.03999999999996,339.83,-0.20999999999997954,-10.499999999998977,-22.999999999997954
2022-12-06,IWM,1,2022-12-05,2022-12-06,182.88,182.87,-0.009999999999990905,-0.49999999999954525,-2.9999999999990905
2022-12-07,DIA,1,2022-12-06,2022-12-07,336.46999999999997,336.13,-0.339999999999975,-16.99999999999875,-35.9999999999975
2022-12-08,DIA,1,2022-12-07,2022-12-08,336.45,337.73,1.2800000000000296,64.00000000000148,126.00000000000296
2022-12-09,DIA,1,2022-12-08,2022-12-09,338.46999999999997,337.66,-0.8099999999999454,-40.49999999999727,-82.99999999999454
2022-12-09,IWM,1,2022-12-08,2022-12-09,180.85,179.77,-1.079999999999984,-53.999999999999204,-109.99999999999841
2022-12-12,DIA,1,2022-12-09,2022-12-12,335.38,336.09000000000003,0.7100000000000364,35.50000000000182,69.00000000000364
2022-12-13,IWM,1,2022-12-12,2022-12-13,180.73,185.72,4.990000000000009,249.50000000000045,497.0000000000009
2022-12-13,DIA,1,2022-12-12,2022-12-13,340.63,348.17,7.5400000000000205,377.000000000001,752.000000000002
2022-12-14,IWM,1,2022-12-13,2022-12-14,181.39,181.3,-0.08999999999997499,-4.4999999999987494,-10.999999999997499
2022-12-14,DIA,1,2022-12-13,2022-12-14,341.82,341.88,0.060000000000002274,3.0000000000001137,4.000000000000227
2022-12-15,IWM,1,2022-12-14,2022-12-15,180.2,178.05,-2.1499999999999773,-107.49999999999886,-216.99999999999773
2022-12-15,DIA,1,2022-12-14,2022-12-15,340.23,336.61,-3.6200000000000045,-181.00000000000023,-364.00000000000045
2022-12-16,DIA,1,2022-12-15,2022-12-16,332.81,329.17,-3.6399999999999864,-181.99999999999932,-365.99999999999864
2022-12-19,DIA,1,2022-12-16,2022-12-19,328.98,328.86,-0.12000000000000455,-6.000000000000227,-14.000000000000455
2022-12-20,DIA,1,2022-12-19,2022-12-20,327.39,327.58,0.18999999999999773,9.499999999999886,16.999999999999773
2022-12-21,DIA,1,2022-12-20,2022-12-21,328.39,331.55,3.160000000000025,158.00000000000125,314.0000000000025
2022-12-22,DIA,1,2022-12-21,2022-12-22,333.61,331.51,-2.1000000000000227,-105.00000000000114,-212.00000000000227
2022-12-23,DIA,1,2022-12-22,2022-12-23,330.27,329.61,-0.6599999999999682,-32.99999999999841,-67.99999999999682
2022-12-27,DIA,1,2022-12-23,2022-12-27,331.94,332.29,0.35000000000002274,17.500000000001137,33.000000000002274
2022-12-28,DIA,1,2022-12-27,2022-12-28,332.38,332.62,0.2400000000000091,12.000000000000455,22.00000000000091
2022-12-29,DIA,1,2022-12-28,2022-12-29,328.58,330.52,1.9399999999999977,96.99999999999989,191.99999999999977
2022-12-30,DIA,1,2022-12-29,2022-12-30,332.07,330.61,-1.4599999999999795,-72.99999999999898,-147.99999999999795
2023-01-03,DIA,1,2022-12-30,2023-01-03,331.34,332.41,1.07000000000005,53.5000000000025,105.000000000005
2023-01-04,DIA,1,2023-01-03,2023-01-04,331.23,332.61,1.3799999999999955,68.99999999999977,135.99999999999955
2023-01-05,DIA,1,2023-01-04,2023-01-05,332.57,330.96000000000004,-1.6099999999999568,-80.49999999999784,-162.99999999999568
2023-01-09,DIA,1,2023-01-06,2023-01-09,336.28999999999996,337.68,1.3900000000000432,69.50000000000216,137.00000000000432
2023-01-10,DIA,1,2023-01-09,2023-01-10,335.3,334.94,-0.36000000000001364,-18.000000000000682,-38.000000000001364
2023-01-11,DIA,1,2023-01-10,2023-01-11,337.24,338.39,1.1499999999999773,57.49999999999886,112.99999999999773
